employer,total_spent,num_events,period,employer_short
Baltimore Gas and Electric Company,8069.290000000001,2,2025-2026,BGE
Chesapeake Utilities Corporation,2312.59,1,2025-2026,Chesapeake Utilities
"Choptank Electric Cooperative, Inc.",6110.47,1,2025-2026,Choptank Electric
Constellation,20626.77,3,2025-2026,Constellation
"Pepco Holdings, LLC.",8515.779999999999,2,2025-2026,Pepco
Washington Gas,15003.75,1,2025-2026,Washington Gas
Baltimore Gas and Electric Company,21463.89,4,2024-2025,BGE
"Choptank Electric Cooperative, Inc.",12000.0,2,2024-2025,Choptank Electric
Constellation,8750.6,2,2024-2025,Constellation
"Pepco Holdings, LLC.",7391.9400000000005,2,2024-2025,Pepco
Washington Gas,9716.15,1,2024-2025,Washington Gas
