committee,total_spent,num_events,period
General Assembly,1340140.83,94,2024-2025
General Assembly,644328.9599999998,69,2025-2026
Senate Finance,396340.10999999975,32,2025-2026
Senate Budget & Tax,363341.06999999995,25,2025-2026
House Appropriations,304559.72,11,2025-2026
House Economic Matters,218311.01,26,2024-2025
Senate EEE,197850.52000000002,23,2024-2025
Senate Budget & Tax,193707.77,33,2024-2025
Senate Finance,172101.94999999995,29,2024-2025
House ENT,170943.13999999996,14,2024-2025
House ENT,161096.94,20,2025-2026
Senate EEE,143556.73,19,2025-2026
House Appropriations,126108.94999999998,17,2024-2025
House Ways & Means,124855.22,13,2024-2025
Senate Judicial Proceedings,120509.50000000001,13,2024-2025
House Judiciary,104428.97,10,2024-2025
House Economic Matters,95399.92000000001,17,2025-2026
House Ways & Means,86331.49000000002,13,2025-2026
House Judiciary,33849.79,9,2025-2026
Senate Judicial Proceedings,33002.21000000001,8,2025-2026
