committee,period,total_spent,num_events
General Assembly,2024-2025,1340140.83,94
House ENT,2024-2025,170943.13999999998,14
Senate EEE,2024-2025,197850.52,23
House Econ Matters,2024-2025,218311.00999999998,26
Senate Finance,2024-2025,172101.94999999995,29
House Appropriations,2024-2025,126108.94999999998,17
Senate Budget & Tax,2024-2025,193707.77,33
General Assembly,2025-2026,644328.9600000001,69
House ENT,2025-2026,161096.94,20
Senate EEE,2025-2026,143556.72999999998,19
House Econ Matters,2025-2026,95399.92,17
Senate Finance,2025-2026,396340.11,32
House Appropriations,2025-2026,304559.72000000003,11
Senate Budget & Tax,2025-2026,363341.06999999995,25
