employer,total_spent,num_events
"Lifebridge Health, Inc.",264555.17,2
Montgomery County Chamber of Commerce,111028.97,1
Mental Health Association of Maryland,103605.73,1
Rifkin Weiner Livingston LLC,95825.33,9
"Maryland Agriculture Council, Inc.",56088.8,1
Committee for Montgomery,40000.0,1
Baltimore Jewish Council,37397.11,3
Jewish Community Relations Council of Greater Washington,36691.0,1
American Council of Engineering Companies/MD,32875.740000000005,2
Maryland Tech Council,32287.19,2
"Arc Maryland, The",30885.0,1
Maryland Farm Bureau,30800.0,1
Maryland State Licensed Beverage Association,27113.43,2
"G.S. Proctor & Associates, Inc.",26478.71,5
Maryland State Education Association,26345.56,4
