employer,category,total_spent,num_events
Rifkin Weiner Livingston LLC,Other,24213.96,2
Constellation,Gas/Electric Utility,15130.51,2
Washington Gas,Gas/Electric Utility,15003.75,1
Mid-Atlantic Renewable Energy Coalition Action (MAREC Action),Renewable Energy,9331.43,2
Chesapeake Solar & Storage Association (CHESSA),Renewable Energy,9151.75,2
"Pepco Holdings, LLC.",Gas/Electric Utility,8515.779999999999,2
Baltimore Gas and Electric Company,Gas/Electric Utility,8069.290000000001,2
Retail Energy Supply Association,Other,8015.11,2
Maryland Transportation Builders and Materials Association,Other,6802.61,1
"Coalition for Community Solar Access, Inc.",Renewable Energy,6678.16,2
"Choptank Electric Cooperative, Inc.",Gas/Electric Utility,6110.47,1
"Uber Technologies, Inc.",Other,5943.55,1
Delmarva Chicken Association,Other,5533.87,2
"Lifebridge Health, Inc.",Other,5181.17,1
"Maryland - American Water Company, Inc.",Other,5082.76,1
